Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides V-Day1-1	Peptides V-Day1-2	Peptides V-Day1-3	Peptides V-Day2-1	Peptides V-Day2-2	Peptides V-Day2-3	Peptides V-Mock1	Peptides V-Mock2	Peptides V-Mock3	Razor + unique peptides V-Day1-1	Razor + unique peptides V-Day1-2	Razor + unique peptides V-Day1-3	Razor + unique peptides V-Day2-1	Razor + unique peptides V-Day2-2	Razor + unique peptides V-Day2-3	Razor + unique peptides V-Mock1	Razor + unique peptides V-Mock2	Razor + unique peptides V-Mock3	Unique peptides V-Day1-1	Unique peptides V-Day1-2	Unique peptides V-Day1-3	Unique peptides V-Day2-1	Unique peptides V-Day2-2	Unique peptides V-Day2-3	Unique peptides V-Mock1	Unique peptides V-Mock2	Unique peptides V-Mock3	Sequence length	Sequence lengths	Intensity V-Day1-1	Intensity V-Day1-2	Intensity V-Day1-3	Intensity V-Day2-1	Intensity V-Day2-2	Intensity V-Day2-3	Intensity V-Mock1	Intensity V-Mock2	Intensity V-Mock3	LFQ intensity V-Day1-1	LFQ intensity V-Day1-2	LFQ intensity V-Day1-3	LFQ intensity V-Day2-1	LFQ intensity V-Day2-2	LFQ intensity V-Day2-3	LFQ intensity V-Mock1	LFQ intensity V-Mock2	LFQ intensity V-Mock3	Protein IDs	Majority protein IDs
			28	28	28	34.4	34.4	34.4	113.93	0	323.31	107820000	87	28	28	28	NaN	1	4	6	16	21	27	14	0	0	0	4	6	16	21	27	14	0	0	0	4	6	16	21	27	14	0	0	0	1027	1027	1175600	845330	6817500	12334000	56264000	30386000	0	0	0	16.8167836793786	17.318666371185	18.5935005463604	19.7143126057194	19.6307292709195	19.8943470726291	12.1289858567633	12.3673750984411	11.9478890879978	tr|A0A0D9R833|A0A0D9R833_CHLSB	tr|A0A0D9R833|A0A0D9R833_CHLSB
			24	24	7	67	67	20.9	37.512	0	323.31	826480000	165	24	24	7	NaN	1	6	16	21	18	22	22	0	0	0	6	16	21	18	22	22	0	0	0	0	5	6	5	6	6	0	0	0	330	330	976840	26216000	164750000	33898000	373490000	227150000	0	0	0	18.5691880888286	19.7175291689898	19.848381484936	20.1664377210296	20.6419176754111	21.1299998590647	11.9971480631157	12.6588231309257	11.0152870477083	tr|A0A0D9R869|A0A0D9R869_CHLSB	tr|A0A0D9R869|A0A0D9R869_CHLSB
			1	1	1	2.6	2.6	2.6	50.724	0.0025253	6.8375	924500	1	1	1	1	NaN	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	455	455	120310	388070	402710	0	0	0	0	0	13414	13.2800747686501	13.5958402237282	12.04739660752	10.5030489138908	11.3000349760951	9.17685884410722	12.5541868161609	13.0108545494657	12.7026056021102	tr|A0A0D9R892|A0A0D9R892_CHLSB	tr|A0A0D9R892|A0A0D9R892_CHLSB
			1	1	1	2.6	2.6	2.6	46.044	0.0025597	7.0008	1139400	2	1	1	1	NaN	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	423	423	0	0	1139400	0	0	0	0	0	0	11.4847609603	12.5154521850949	12.8216344881374	8.74410876008111	9.48601704228644	9.00316649907768	12.6070358440464	12.7580691159035	12.2638402504018	tr|A0A0D9R899|A0A0D9R899_CHLSB	tr|A0A0D9R899|A0A0D9R899_CHLSB
			7	7	7	20	20	20	50.227	0	60.331	23894000	16	7	7	7	NaN	1	1	3	4	3	6	6	1	1	1	1	3	4	3	6	6	1	1	1	1	3	4	3	6	6	1	1	1	456	456	58096	485920	5698200	674320	9409400	7538100	9777.3	8404.2	12011	13.597005002607	13.859243577963	14.8270945584035	14.3206595436486	14.782332794581	16.1048853640941	14.1112171945498	14.4468894414762	14.3094763538411	tr|A0A0D9R8B1|A0A0D9R8B1_CHLSB	tr|A0A0D9R8B1|A0A0D9R8B1_CHLSB
			6	6	6	14.5	14.5	14.5	54.369	0	77.889	26740000	13	NaN	NaN	NaN	NaN	2	1	2	5	1	5	4	0	0	0	1	2	5	1	5	4	0	0	0	1	2	5	1	5	4	0	0	0	489	NaN	19141	2561200	16935000	82925	4537000	2604300	0	0	0	13.6509395370186	15.8472531383208	17.1409096343198	14.8299208938723	14.7163371965617	15.6393407086522	12.2950130186635	12.7876784028743	13.4616812858781	tr|A0A0D9R8C6|A0A0D9R8C6_CHLSB;tr|A0A0D9RDB0|A0A0D9RDB0_CHLSB	tr|A0A0D9R8C6|A0A0D9R8C6_CHLSB
			3	3	3	6.1	6.1	6.1	68.721	0	33.465	2821900	6	3	3	3	NaN	1	0	0	1	1	3	1	0	0	1	0	0	1	1	3	1	0	0	1	0	0	1	1	3	1	0	0	1	607	607	0	0	58984	120830	1963500	633770	0	0	44788	11.5438286866123	12.4554127252033	14.0800680107289	12.2485206049384	12.1930632791304	13.642051692928	13.0410438638395	12.3880230204793	15.5971214287896	tr|A0A0D9R8E0|A0A0D9R8E0_CHLSB	tr|A0A0D9R8E0|A0A0D9R8E0_CHLSB
			1	1	1	6.8	6.8	6.8	23.489	0.0026019	7.1743	454610	1	1	1	1	NaN	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	207	207	0	0	0	0	454610	0	0	0	0	12.2089347771418	12.3244595754873	10.0919025926849	10.6876986952768	11.4633200110581	10.5805490393268	11.6737870240547	13.8729507623758	12.5964360664359	tr|A0A0D9R8E8|A0A0D9R8E8_CHLSB	tr|A0A0D9R8E8|A0A0D9R8E8_CHLSB
			6	6	6	36.2	36.2	36.2	32.723	0	46.466	10009000	10	6	6	6	NaN	1	0	0	4	2	5	4	0	0	0	0	0	4	2	5	4	0	0	0	0	0	4	2	5	4	0	0	0	298	298	0	0	2503000	293140	5534400	1678400	0	0	0	10.9372479631896	11.5193816651396	14.0920964149908	13.530772085622	14.4699597245238	14.0968798363038	13.6007193040555	12.8667052068704	11.53539880255	tr|A0A0D9R8G3|A0A0D9R8G3_CHLSB	tr|A0A0D9R8G3|A0A0D9R8G3_CHLSB
			4	4	4	19.7	19.7	19.7	29.838	0	29.156	4269000	4	4	4	4	NaN	1	0	2	2	1	1	1	0	0	0	0	2	2	1	1	1	0	0	0	0	2	2	1	1	1	0	0	0	259	259	0	521950	1590100	348620	840690	967630	0	0	0	10.3899824915987	13.0166690246872	13.6890151718986	13.546653347655	10.4709654378801	13.3859971752729	12.156381929849	14.0897946087183	12.1729602221096	tr|A0A0D9R8J7|A0A0D9R8J7_CHLSB	tr|A0A0D9R8J7|A0A0D9R8J7_CHLSB
			2	1	1	8.7	2.9	2.9	30.846	0	18.12	4715400	3	2	1	1	NaN	1	0	2	2	1	2	2	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	277	277	0	20254	1373000	0	448860	2873300	0	0	0	11.2394556299	12.0892518403132	13.2299753883212	10.6522684790951	11.7192604615807	14.8530170875767	11.8021838283024	12.76999234446	11.070358370154	tr|A0A0D9R8J9|A0A0D9R8J9_CHLSB	tr|A0A0D9R8J9|A0A0D9R8J9_CHLSB
			2	2	2	1.5	1.5	1.5	128.34	0.0019194	11.506	0	2	2	2	2	NaN	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1102	1102	0	0	0	0	0	0	0	0	0	11.3173847449092	9.79631976206979	11.1632028635489	11.2048789572695	9.61963760374665	11.8678441508163	11.6159849416157	11.5850327964272	12.1058789955389	tr|A0A0D9R8K0|A0A0D9R8K0_CHLSB	tr|A0A0D9R8K0|A0A0D9R8K0_CHLSB
			12	12	12	65.1	65.1	65.1	26.95	0	164.26	111560000	46	12	12	12	NaN	1	2	6	9	8	11	8	2	2	2	2	6	9	8	11	8	2	2	2	2	6	9	8	11	8	2	2	2	241	241	154940	3105500	38249000	7694000	34769000	27336000	87735	88964	76747	16.8531877010144	16.8761571871913	18.2893795320536	17.4422469838272	17.2221345225861	18.3753025118053	16.5878361041185	17.1147183891884	16.4432187683428	tr|A0A0D9R8K1|A0A0D9R8K1_CHLSB	tr|A0A0D9R8K1|A0A0D9R8K1_CHLSB
			6	6	6	23.5	23.5	23.5	42.425	0	123.65	76434000	23	6	6	6	NaN	1	1	4	5	4	6	6	1	0	1	1	4	5	4	6	6	1	0	1	1	4	5	4	6	6	1	0	1	383	383	37448	885310	22619000	1017200	26450000	25361000	33239	0	30575	15.0481888360894	15.5471054000408	16.9322608967985	15.4543956928654	16.5972669483064	18.2482240896685	14.9812996949523	12.5047320412828	14.9012911785938	tr|A0A0D9R8K4|A0A0D9R8K4_CHLSB	tr|A0A0D9R8K4|A0A0D9R8K4_CHLSB
			5	5	4	28.2	28.2	21.4	25.763	0	83.882	30617000	14	5	5	4	NaN	1	0	3	5	3	4	3	0	0	0	0	3	5	3	4	3	0	0	0	0	2	4	2	3	2	0	0	0	234	234	0	303190	16033000	1455200	6168000	6657300	0	0	0	11.7592338286075	15.6676659769771	16.4704682305134	15.8434794625166	15.1799868193348	16.6430106128974	12.6247312813035	11.4381744777263	12.2426707000196	tr|A0A0D9R8K5|A0A0D9R8K5_CHLSB	tr|A0A0D9R8K5|A0A0D9R8K5_CHLSB
			1	1	1	8.1	8.1	8.1	28.038	0.00099502	12.205	1454000	2	1	1	1	NaN	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	246	246	0	0	1454000	0	0	0	0	0	0	10.375425087888	9.83961536728946	13.173364830849	10.5881094256862	10.5018984804835	8.65882492436399	12.8029760824141	12.2115537534112	11.6548016860226	tr|A0A0D9R8L1|A0A0D9R8L1_CHLSB	tr|A0A0D9R8L1|A0A0D9R8L1_CHLSB
			16	16	13	61.1	61.1	61.1	40.193	0	323.31	522030000	100	NaN	NaN	NaN	NaN	2	3	12	15	13	14	14	0	1	0	3	12	15	13	14	14	0	1	0	2	9	12	10	12	11	0	0	0	373	NaN	1493200	17587000	151500000	21542000	212010000	117870000	0	32806	0	18.3487973001508	18.8254743581705	20.1465637039391	19.148501408077	19.7093059846988	20.0812181512192	12.6006005338731	14.8780509127285	11.7646247772349	tr|A0A0D9R8L5|A0A0D9R8L5_CHLSB;tr|A0A0D9RHD7|A0A0D9RHD7_CHLSB	tr|A0A0D9R8L5|A0A0D9R8L5_CHLSB
			3	3	2	17	17	11.5	22.541	0	22.346	6987000	12	3	3	2	NaN	1	1	1	2	3	3	3	1	0	1	1	1	2	3	3	3	1	0	1	0	0	1	2	2	2	0	0	0	200	200	35419	38294	986690	679810	1478700	3647700	59388	0	60997	15.7973068872803	14.3781593597821	13.471675214392	13.9409558756115	12.7879025593914	14.005010431073	16.4511628065022	10.3030984828718	16.4824298424431	tr|A0A0D9R8L7|A0A0D9R8L7_CHLSB	tr|A0A0D9R8L7|A0A0D9R8L7_CHLSB
			11	11	11	31.3	31.3	31.3	50.253	0	153.39	68463000	33	11	11	11	NaN	1	2	9	8	7	10	6	0	0	0	2	9	8	7	10	6	0	0	0	2	9	8	7	10	6	0	0	0	466	466	175530	7766000	18244000	2019300	33806000	6453000	0	0	0	14.5799051534513	17.5182228399156	17.2512789810117	16.1132741582604	16.9871529629218	16.8201540262373	12.7123283315399	11.9210694600995	12.0473785275178	tr|A0A0D9R8M1|A0A0D9R8M1_CHLSB	tr|A0A0D9R8M1|A0A0D9R8M1_CHLSB
			7	7	7	25.3	25.3	25.3	40.568	0	48.979	32053000	17	7	7	7	NaN	1	1	3	6	4	4	6	0	0	0	1	3	6	4	4	6	0	0	0	1	3	6	4	4	6	0	0	0	367	367	138690	862620	12405000	1000300	8832200	8814100	0	0	0	15.8398926837263	13.9037877211209	16.1358295056821	15.0438389985	15.2013964756724	15.8255302574443	12.4650101488956	13.3314598682343	12.5753377164214	tr|A0A0D9R8P6|A0A0D9R8P6_CHLSB	tr|A0A0D9R8P6|A0A0D9R8P6_CHLSB
			3	3	3	9.7	9.7	9.7	41.153	0	27.111	2049900	4	3	3	3	NaN	1	0	1	1	0	3	0	0	0	0	0	1	1	0	3	0	0	0	0	0	1	1	0	3	0	0	0	0	361	361	0	137680	0	0	1912200	0	0	0	0	11.1976955291025	12.889047582839	10.9506543394286	11.2949346478168	12.2867310132193	9.95186835098923	12.1925344621724	13.1379097528779	13.3710624185483	tr|A0A0D9R8P8|A0A0D9R8P8_CHLSB	tr|A0A0D9R8P8|A0A0D9R8P8_CHLSB
			8	8	8	12.2	12.2	12.2	83.079	0	80.189	12721000	11	8	8	8	NaN	1	0	1	0	5	8	0	2	0	0	0	1	0	5	8	0	2	0	0	0	1	0	5	8	0	2	0	0	763	763	0	19066	0	3847800	8814200	0	40099	0	0	12.1948957110131	14.1999790076159	9.68520057002468	16.7376698631775	16.1343862091473	10.8956521609379	16.3569677157822	13.4049392705785	11.7837941136249	tr|A0A0D9R8Q2|A0A0D9R8Q2_CHLSB	tr|A0A0D9R8Q2|A0A0D9R8Q2_CHLSB
			3	3	3	7.1	7.1	7.1	69.865	0	18.695	844600	3	3	3	3	NaN	1	0	0	1	2	3	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	1	2	3	0	0	0	0	622	622	0	0	39435	121040	684120	0	0	0	0	11.7746593541971	9.95169770814689	13.0451453274155	12.1934021532727	11.5377037479076	11.0949380154779	13.0918735632286	12.6967563387319	12.5773270684324	tr|A0A0D9R8Q7|A0A0D9R8Q7_CHLSB	tr|A0A0D9R8Q7|A0A0D9R8Q7_CHLSB
			4	4	4	4.9	4.9	4.9	140.46	0	29.631	8965800	8	4	4	4	NaN	1	1	2	3	3	4	2	0	0	0	1	2	3	3	4	2	0	0	0	1	2	3	3	4	2	0	0	0	1264	1264	22548	91833	334090	626420	7021700	869220	0	0	0	15.6863090159653	15.3595093656403	15.7288505483784	16.0165036324134	15.8948651199047	15.9933807042559	11.6580159331905	12.7744460908939	12.412614209357	tr|A0A0D9R8U1|A0A0D9R8U1_CHLSB	tr|A0A0D9R8U1|A0A0D9R8U1_CHLSB
			2	2	2	3.6	3.6	3.6	76.239	0	13.053	5744400	4	2	2	2	NaN	1	0	1	1	1	2	2	0	0	0	0	1	1	1	2	2	0	0	0	0	1	1	1	2	2	0	0	0	695	695	0	121710	287690	147520	2502200	2685300	0	0	0	10.8214793791883	13.0485379600227	12.6421194023078	13.7364019313183	13.0510899578595	14.3132373474453	13.2618287224553	12.5816039856021	11.7036275716817	tr|A0A0D9R8U2|A0A0D9R8U2_CHLSB	tr|A0A0D9R8U2|A0A0D9R8U2_CHLSB
			2	2	2	16.5	16.5	16.5	30.119	0	14.632	331560	2	2	2	2	NaN	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	278	278	0	331560	0	0	0	0	0	0	0	10.9103425335038	13.0880594207974	11.3736679094295	9.34165112254891	10.5008025082028	11.0172132283671	12.5100055524738	12.5384179958457	14.0457115207852	tr|A0A0D9R8V0|A0A0D9R8V0_CHLSB	tr|A0A0D9R8V0|A0A0D9R8V0_CHLSB
			1	1	1	1.1	1.1	1.1	81.64	0	12.942	914090000	15	1	1	1	NaN	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	717	717	87865	114700	146120000	32802000	448680000	286270000	0	0	0	15.8652983092764	14.6636136940464	19.9970030152728	20.0360394270871	21.1702331614388	21.3282760907082	12.1233015218597	13.9148076732939	12.4493276185734	tr|A0A0D9R8W0|A0A0D9R8W0_CHLSB	tr|A0A0D9R8W0|A0A0D9R8W0_CHLSB
			1	1	1	20	20	20	10.834	0	12.791	2316900	2	1	1	1	NaN	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	95	95	0	112820	2204000	0	0	0	0	0	0	11.3415209048004	12.4372058875514	13.4792750302502	10.9787482185919	10.3344860068481	10.1818470215013	11.9021333875364	11.5425201689556	11.5228418454395	tr|A0A0D9R8W6|A0A0D9R8W6_CHLSB	tr|A0A0D9R8W6|A0A0D9R8W6_CHLSB
			1	1	1	4	4	4	33.601	0.0025042	6.8041	312190	1	1	1	1	NaN	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	299	299	0	0	312190	0	0	0	0	0	0	11.2690978607408	8.53181676213221	10.9538326821453	10.572454151497	11.6129781198029	11.0353216551321	12.5671625571831	12.0989741193219	11.904197899174	tr|A0A0D9R8X3|A0A0D9R8X3_CHLSB	tr|A0A0D9R8X3|A0A0D9R8X3_CHLSB
			5	5	5	35	35	35	19.463	0	106.28	57501000	34	NaN	NaN	NaN	NaN	2	2	3	5	5	5	4	0	0	0	2	3	5	5	5	4	0	0	0	2	3	5	5	5	4	0	0	0	177	NaN	676830	1774300	14791000	5869800	21730000	12659000	0	0	0	17.8804683899905	16.775070094861	17.4466148685389	17.3460288751403	16.8691841475855	17.4150154853316	12.4794272560035	10.9008392722014	12.9775181130142	tr|A0A0D9R8Y5|A0A0D9R8Y5_CHLSB;tr|A0A0D9SAK7|A0A0D9SAK7_CHLSB	tr|A0A0D9R8Y5|A0A0D9R8Y5_CHLSB
			3	3	3	5.4	5.4	5.4	97.391	0	19.761	4310900	4	NaN	NaN	NaN	NaN	2	0	0	0	2	3	1	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	2	3	1	0	0	0	874	NaN	0	0	0	106990	3851500	352370	0	0	0	11.581907864745	9.73407530361639	9.49851710237034	12.5362472156881	14.2872795061029	12.3583764803282	12.5195229102085	13.1607320060899	12.1850653775751	tr|A0A0D9R8Z8|A0A0D9R8Z8_CHLSB;tr|A0A0D9RBF1|A0A0D9RBF1_CHLSB	tr|A0A0D9R8Z8|A0A0D9R8Z8_CHLSB;tr|A0A0D9RBF1|A0A0D9RBF1_CHLSB
			207	207	202	46.6	46.6	45.9	523.32	0	323.31	548420000	579	207	207	202	NaN	1	13	66	108	125	197	150	17	1	13	13	66	108	125	197	150	17	1	13	13	65	106	123	193	147	17	1	12	4605	4605	658440	8137600	30622000	35480000	323890000	148490000	686750	19726	431140	18.1139557713139	19.881230491267	21.4017149363657	21.8388053701995	23.4087277805108	23.6133551362128	18.7625702017964	13.265717590213	17.9459238623012	tr|A0A0D9R924|A0A0D9R924_CHLSB	tr|A0A0D9R924|A0A0D9R924_CHLSB
			2	2	2	6.5	6.5	6.5	40.202	0	14.034	1024200	3	2	2	2	NaN	1	0	1	1	1	0	2	0	0	0	0	1	1	1	0	2	0	0	0	0	1	1	1	0	2	0	0	0	356	356	0	60840	328390	87850	0	547150	0	0	0	11.0590792969705	10.7286008106432	11.076949173741	11.2848241002246	9.90079740680445	12.3712048971757	12.2968823646218	14.4032253120544	11.7246626229783	tr|A0A0D9R925|A0A0D9R925_CHLSB	tr|A0A0D9R925|A0A0D9R925_CHLSB
			5	2	2	2	0.9	0.9	264.86	0.001955	11.856	129040000	5	5	2	2	NaN	1	0	1	2	3	5	3	0	0	1	0	1	1	2	2	1	0	0	0	0	1	1	2	2	1	0	0	0	2421	2421	0	110060	55749000	4616100	68400000	167500	0	0	0	10.5839987270408	14.8678096124957	18.6233171126242	16.7389894416477	18.3654680936591	16.5962188800236	13.4516863222619	11.4636546449837	11.708710734688	tr|A0A0D9R933|A0A0D9R933_CHLSB	tr|A0A0D9R933|A0A0D9R933_CHLSB
			9	9	9	30.8	30.8	30.8	55.728	0	87.674	20267000	16	9	9	9	NaN	1	0	4	4	3	8	2	0	0	0	0	4	4	3	8	2	0	0	0	0	4	4	3	8	2	0	0	0	516	516	0	1878500	5011500	384000	11227000	1766300	0	0	0	12.703874319706	15.2192063422986	15.1048034811812	15.0991834100793	15.4373294474424	14.9377875884704	12.4616729924796	11.9517519250966	13.947071664171	tr|A0A0D9R949|A0A0D9R949_CHLSB	tr|A0A0D9R949|A0A0D9R949_CHLSB
			1	1	1	14.4	14.4	14.4	12.895	0.0026858	7.8405	1785600	2	1	1	1	NaN	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	118	118	0	0	1182000	0	0	603580	0	0	0	11.9220126541945	10.1056946212379	12.8746164025939	11.3622858693269	10.0890589398264	12.462630074789	11.7658891539943	12.7296211110827	11.1651651247933	tr|A0A0D9R975|A0A0D9R975_CHLSB	tr|A0A0D9R975|A0A0D9R975_CHLSB
			3	3	3	12	12	12	34.333	0	19.854	5139100	4	3	3	3	NaN	1	1	1	1	2	2	3	0	0	0	1	1	1	2	2	3	0	0	0	1	1	1	2	2	3	0	0	0	300	300	33642	111070	741580	196300	2286900	1769600	0	0	0	12.486231677981	12.194325951115	13.0001408813087	12.1537736754648	13.2641200103941	13.5754210657949	11.0633415647746	13.2373100332966	11.6936536245696	tr|A0A0D9R9A4|A0A0D9R9A4_CHLSB	tr|A0A0D9R9A4|A0A0D9R9A4_CHLSB
			1	1	1	4.2	4.2	4.2	41.358	0.0057424	6.6634	1271900	1	1	1	1	NaN	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	359	359	73392	0	1198500	0	0	0	0	0	0	13.0735390988288	10.2421862454271	12.8945904300027	11.7590380998567	9.48071942206717	11.1413672910413	13.8918260206381	11.3573815204508	14.1774226040236	tr|A0A0D9R9A5|A0A0D9R9A5_CHLSB	tr|A0A0D9R9A5|A0A0D9R9A5_CHLSB
			2	2	2	7.7	7.7	7.7	29.947	0	15.883	3501100	3	2	2	2	NaN	1	0	1	1	0	1	2	0	0	0	0	1	1	0	1	2	0	0	0	0	1	1	0	1	2	0	0	0	286	286	0	79494	496810	0	844920	2079900	0	0	0	9.79677788816669	12.3178365410046	12.9142543119072	9.80874974574113	12.1082303992901	13.6327680547287	11.6894288332296	12.3124049724354	12.8971852983218	tr|A0A0D9R9E0|A0A0D9R9E0_CHLSB	tr|A0A0D9R9E0|A0A0D9R9E0_CHLSB
			6	6	6	13	13	13	71.202	0	54.361	59802000	25	6	6	6	NaN	1	1	4	5	2	5	5	1	1	1	1	4	5	2	5	5	1	1	1	1	4	5	2	5	5	1	1	1	646	646	24353	1869500	12754000	2812100	25341000	16916000	26660	31351	26777	14.8571548623658	15.3013532902188	16.5507918688988	16.6069834703675	16.7839190454729	17.3114999934462	15.0256586729435	15.8220728519176	15.0313996765681	tr|A0A0D9R9G1|A0A0D9R9G1_CHLSB	tr|A0A0D9R9G1|A0A0D9R9G1_CHLSB
			29	29	29	33.4	33.4	33.4	123.89	0	210.53	60279000	46	29	29	29	NaN	1	0	6	9	16	26	9	1	0	0	0	6	9	16	26	9	1	0	0	0	6	9	16	26	9	1	0	0	1134	1134	0	263350	2389200	3884900	43384000	10334000	23832	0	0	11.957993493108	16.5684757274357	17.3813570597412	17.5163002203703	18.4785247474656	17.3962368363276	15.5985178106126	11.9053021534147	12.1387818157616	tr|A0A0D9R9G7|A0A0D9R9G7_CHLSB	tr|A0A0D9R9G7|A0A0D9R9G7_CHLSB
			4	4	4	7.2	7.2	7.2	57.65	0	35.396	4842400	6	4	4	4	NaN	1	1	0	1	2	3	3	0	0	0	1	0	1	2	3	3	0	0	0	1	0	1	2	3	3	0	0	0	538	538	15279	0	120730	338070	1724200	2644100	0	0	0	14.2755425560867	10.7738940184968	12.2275256969486	14.3410322833478	13.4577656148518	14.2293445772039	12.99357034579	12.4958666010218	11.9987309508505	tr|A0A0D9R9H4|A0A0D9R9H4_CHLSB	tr|A0A0D9R9H4|A0A0D9R9H4_CHLSB
			3	3	3	11.7	11.7	11.7	47.012	0	19.474	3683800	4	3	3	3	NaN	1	0	2	3	1	3	2	0	0	0	0	2	3	1	3	2	0	0	0	0	2	3	1	3	2	0	0	0	418	418	0	106520	1093200	63337	1444000	976760	0	0	0	11.1942140934685	11.6109325504298	11.8680122578559	11.9938583094897	12.5287226985824	13.2797121348523	11.7102311781609	11.9259486618797	12.8376489881989	tr|A0A0D9R9J2|A0A0D9R9J2_CHLSB	tr|A0A0D9R9J2|A0A0D9R9J2_CHLSB
			1	1	1	9.4	9.4	9.4	12.733	0.0065253	6.6486	7649500	10	NaN	NaN	NaN	NaN	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	117	NaN	560260	1272500	1672100	1439200	273620	255860	546810	1026400	602690	18.9791907115369	17.1811716728503	16.5562964846437	17.0637110575718	14.920957573718	15.362457560125	19.0105608860909	20.2816131351869	19.3190414037301	tr|A0A0D9R9R2|A0A0D9R9R2_CHLSB;tr|A0A0D9R9P8|A0A0D9R9P8_CHLSB;tr|A0A0D9R9S8|A0A0D9R9S8_CHLSB;tr|A0A0D9RA70|A0A0D9RA70_CHLSB;tr|A0A0D9S0D0|A0A0D9S0D0_CHLSB	tr|A0A0D9R9R2|A0A0D9R9R2_CHLSB;tr|A0A0D9R9P8|A0A0D9R9P8_CHLSB;tr|A0A0D9R9S8|A0A0D9R9S8_CHLSB;tr|A0A0D9RA70|A0A0D9RA70_CHLSB;tr|A0A0D9S0D0|A0A0D9S0D0_CHLSB
			35	35	35	58.9	58.9	58.9	82.715	0	323.31	197300000	84	35	35	35	NaN	1	1	14	15	15	33	7	0	2	1	1	14	15	15	33	7	0	2	1	1	14	15	15	33	7	0	2	1	732	732	28444	10787000	21335000	3426500	157140000	4444000	0	131490	12929	15.1777698909373	17.5902507795154	19.2756016608522	17.3279034513877	19.8453215878413	16.7250733005572	11.3254030261308	14.9212365890053	15.1587674546361	tr|A0A0D9R9Q4|A0A0D9R9Q4_CHLSB	tr|A0A0D9R9Q4|A0A0D9R9Q4_CHLSB
			3	3	3	12.7	12.7	12.7	33.144	0	19.188	2544200	3	3	3	3	NaN	1	1	1	2	0	0	2	0	0	0	1	1	2	0	0	2	0	0	0	1	1	2	0	0	2	0	0	0	299	299	35679	170140	1131300	0	0	1207000	0	0	0	12.0004226026611	12.0466806721155	11.6872444438382	12.1171785769236	10.1896172216492	13.9208180458363	11.9972009697828	12.067146151674	12.4678509002711	tr|A0A0D9R9W0|A0A0D9R9W0_CHLSB	tr|A0A0D9R9W0|A0A0D9R9W0_CHLSB
			3	3	3	2.4	2.4	2.4	249.58	0	20.609	1488700	3	3	3	3	NaN	1	0	0	0	1	3	1	0	0	1	0	0	0	1	3	1	0	0	1	0	0	0	1	3	1	0	0	1	2265	2265	0	0	0	50321	1251400	126180	0	0	60789	10.3197967027379	10.1555445953904	10.3735247132822	14.4149494414743	13.9500090418862	14.4742129371939	12.7920050541697	12.377835622804	15.5278434978802	tr|A0A0D9R9X4|A0A0D9R9X4_CHLSB	tr|A0A0D9R9X4|A0A0D9R9X4_CHLSB
			9	9	9	21.5	21.5	21.5	59.516	0	65.058	22322000	17	9	9	9	NaN	1	2	2	3	3	9	4	0	2	1	2	2	3	3	9	4	0	2	1	2	2	3	3	9	4	0	2	1	548	548	117300	251900	1612400	1368700	13483000	5384600	0	82695	22059	14.1490325799436	13.4735789248608	14.4391166302841	14.9710045980734	16.0530137298953	14.7453066714059	12.696531758601	15.1770690999386	15.4631092322018	tr|A0A0D9R9Y5|A0A0D9R9Y5_CHLSB	tr|A0A0D9R9Y5|A0A0D9R9Y5_CHLSB
